Name,Distinction,Cuisine
Popina, ,Italian
Per Se,3 Stars,Contemporary
Carne Mare, ,Steakhouse
Inga's Bar, ,American
Phayul,Bib Gourmand,Tibetan
Ma•dé, ,South
The Office of Mr. Moto, ,Japanese
Superiority Burger,Bib Gourmand,Vegetarian
Claud, ,European
Sobre Masa,Bib Gourmand,Mexican
Bar Tulix, ,Mexican
Laser Wolf, ,Middle
C as in Charlie,Bib Gourmand,Fusion
KRU,Bib Gourmand,Thai
Miss Ada,Bib Gourmand,Middle
Mile End,Bib Gourmand,Deli
Frevo,1 Star,Contemporary
RaaSa,Bib Gourmand,Indian
Reverence, ,Contemporary
Risbo, ,American
Đi Ăn Đi, ,Vietnamese
Ariari, ,Korean
Meju,1 Star,Korean
Moody Tongue Sushi, ,Sushi
Hav & Mar, ,Fusion
HOUSE Brooklyn, ,Japanese
Tatiana, ,Fusion
Soda Club,Bib Gourmand,Vegan
Tagmo, ,Indian
LittleMäd, ,Korean
Runner Up,Bib Gourmand,American
TVB by: Pax Romana,Bib Gourmand,Italian
Torien,1 Star,Japanese
Thai Diner,Bib Gourmand,Thai
Van Đa,Bib Gourmand,Vietnamese
X20 Xaviars On the Hudson, ,European
Ammazzacaffè,Bib Gourmand,Italian
Blue Hill at Stone Barns,2 Stars,American
Roberto's, ,Italian
Don Angie, ,Italian
Boro6 Wine Bar,Bib Gourmand,Contemporary
Patricia’s, ,Italian
Genesis House Restaurant, ,Korean
The Dining Room at The Guesthouse, ,Contemporary
Little Myanmar, ,Burmese
Jōji,1 Star,Japanese
Tacos Güey, ,Mexican
Le Rock, ,Contemporary
Mari,1 Star,Korean
Chick Chick,Bib Gourmand,Asian
Mel's, ,Pizza
Wau, ,Indonesian
Icca,1 Star,Japanese
Cafe Sabarsky, ,Austrian
Yoshino,1 Star,Japanese
Wan Wan, ,Thai
Dhamaka,Bib Gourmand,Indian
MP Taverna, ,Greek
Liebman's, ,Deli
Mission Ceviche, ,Peruvian
Purdy's Farmer & the Fish, ,Seafood
Farra, ,Contemporary
Sagara,Bib Gourmand,Sri
Saga,2 Stars,Contemporary
Gage & Tollner, ,Steakhouse
Zanmi, ,Caribbean
Szechuan Gourmet,Bib Gourmand,Chinese
Fradei, ,Contemporary
Crown Shy,1 Star,Contemporary
Rafele Rye,Bib Gourmand,Italian
Madre, ,Contemporary
Hūso, ,Contemporary
Chola, ,Indian
Shabushabu Mayumon, ,Japanese
Le Fanfare,Bib Gourmand,Italian
Southern Table,Bib Gourmand,Southern
Kung Fu Little Steamed Buns Ramen,Bib Gourmand,Chinese
Manhatta, ,Contemporary
For All Things Good, ,Mexican
Yellow Rose,Bib Gourmand,Tex
SaRanRom Thai,Bib Gourmand,Thai
Dame, ,Seafood
Nice Matin, ,French
La Devozione: The Oval, ,Italian
The Orchard Townhouse, ,Contemporary
Great N.Y. Noodletown, ,Chinese
Dim Sum Go Go,Bib Gourmand,Chinese
Gordo's Cantina,Bib Gourmand,Mexican
Rule of Thirds, ,Japanese
Hearth, ,Italian
Bar Primi,Bib Gourmand,Italian
Tonchin,Bib Gourmand,Japanese
Le Bernardin,3 Stars,Seafood
Porter House, ,Steakhouse
Marea, ,Seafood
Russ & Daughters Cafe,Bib Gourmand,American
Claro, ,Mexican
Glasserie,Bib Gourmand,Middle
Cosme, ,Mexican
Asian Jewels, ,Chinese
Sushi Amane,1 Star,Japanese
Craft, ,American
Marc Forgione, ,American
abcV, ,Vegetarian
21 Greenpoint,Bib Gourmand,American
Tamarind, ,Indian
The Musket Room,1 Star,Contemporary
Jiang Nan,Bib Gourmand,Chinese
Red Hook Tavern, ,American
Tong, ,Thai
Rolo's,Bib Gourmand,American
Hupo,Bib Gourmand,Chinese
Cho Dang Gol,Bib Gourmand,Korean
Atla,Bib Gourmand,Mexican
Hunan Bistro, ,Chinese
Tomiño Taberna Gallega,Bib Gourmand,Spanish
Gramercy Tavern,1 Star,Contemporary
Lakruwana, ,Sri
Hometown Barbecue New York,Bib Gourmand,Barbecue
Mtskheta Café, ,Central
Enoteca Maria,Bib Gourmand,Italian
Sushi Yasuda,1 Star,Japanese
Minetta Tavern, ,Gastropub
Lobster Club, ,Japanese
J.G. Melon, ,American
Ugly Baby,Bib Gourmand,Thai
Secchu Yokota, ,Japanese
Da Franco & Tony Ristorante, ,Italian
Goosefeather, ,Cantonese
Cotenna,Bib Gourmand,Italian
Llama Inn,Bib Gourmand,Peruvian
Blue Ribbon, ,Contemporary
Chuan Tian Xia,Bib Gourmand,Chinese
Clay, ,Contemporary
Covacha,Bib Gourmand,Mexican
Vestry,1 Star,Contemporary
Casa Dani, ,Spanish
Sami & Susu,Bib Gourmand,Mediterranean
Ivan Ramen, ,Japanese
Dirt Candy,1 Star,Vegetarian
The Modern,2 Stars,Contemporary
Alta Calidad,Bib Gourmand,Mexican
Vinum, ,Italian
Purple Yam,Bib Gourmand,Filipino
Sushi Noz,2 Stars,Japanese
Miss Mamie's Spoonbread Too,Bib Gourmand,Southern
JoJo, ,Contemporary
Tanoreen,Bib Gourmand,Middle
Faun, ,Contemporary
Amelie,Bib Gourmand,French
Via Carota, ,Italian
M. Wells, ,Gastropub
Alley 41,Bib Gourmand,Chinese
Norma Gastronomia Siciliana,Bib Gourmand,Italian
Houseman, ,American
Tuome,1 Star,Fusion
Roberta's,Bib Gourmand,Pizza
Pylos, ,Greek
King, ,Mediterranean
Town House, ,Contemporary
Ernesto's, ,Spanish
Badageoni Georgian Kitchen,Bib Gourmand,Central
15 East at Tocqueville, ,Contemporary
The Four Horsemen,1 Star,American
Oxalis,1 Star,Contemporary
Rosella, ,Japanese
Barbuto, ,Italian
Indian Accent, ,Indian
Kyma, ,Greek
Cervo’s, ,Spanish
Casa Mono,1 Star,Spanish
Seis Vecinos, ,Latin
East Harbor Seafood Palace, ,Chinese
Taverna Kyclades, ,Greek
Runner & Stone, ,Contemporary
DaXi Sichuan, ,Chinese
Le Gigot, ,French
Kosaka,1 Star,Japanese
Atomix,2 Stars,Korean
Hart's, ,Mediterranean
Falansai, ,Vietnamese
Daniel,2 Stars,French
Atoboy, ,Korean
Soba-Ya,Bib Gourmand,Japanese
Lord's, ,English
Jupiter, ,Italian
Nudibranch, ,Contemporary
Gotham, ,American
Dons Bogam, ,Korean
Dubrovnik,Bib Gourmand,Croatian
R40, ,Argentinian
Bohemian Spirit,Bib Gourmand,Czech
The Cookery,Bib Gourmand,Italian
One White Street,1 Star,Contemporary
Kimika, ,Fusion
Melba's, ,Southern
Ulivo, ,Italian
Junoon, ,Indian
The Grill, ,American
